Title,Director,Cast,genres,combo
jaguar,mahadev,nikhil gowda deepti sati jagapati babu rao ramesh ramya krishna sampath raj adithya menon,Adventure,jaguar mahadev nikhil gowda deepti sati jagapati babu rao ramesh ramya krishna sampath raj adithya menon Adventure
abhinetri,a. l. vijay,prabhu deva tamannaah sonu sood,un_known,abhinetri a. l. vijay prabhu deva tamannaah sonu sood un_known
eedu gold ehe,veeru potla,sunil richa panai sushma raj naresh puneet issar,Thriller,eedu gold ehe veeru potla sunil richa panai sushma raj naresh puneet issar Thriller
mana oori ramayanam,prakash raj,prakash raj priyamani prudhviraj satyadev,Thriller Drama,mana oori ramayanam prakash raj prakash raj priyamani prudhviraj satyadev Thriller Drama
premam,chandoo mondeti,naga chaitanya shruti hassan anupama parameswaran,Romance,premam chandoo mondeti naga chaitanya shruti hassan anupama parameswaran Romance
ism,puri jagannadh,nandamuri kalyan ram aditi arya jagapati babu,un_known,ism puri jagannadh nandamuri kalyan ram aditi arya jagapati babu un_known
l7,mukund pande,adith arun pooja jhaveri vennela kishore,Documentary,l7 mukund pande adith arun pooja jhaveri vennela kishore Documentary
nandini nursing home,p. v. giri,nawin vijay krishna nithya naresh shakalaka shankar shravya jaya prakash reddy vennela kishore,Comedy,nandini nursing home p. v. giri nawin vijay krishna nithya naresh shakalaka shankar shravya jaya prakash reddy vennela kishore Comedy
shankara,thathineni satya prakash,nara rohith regina cassandra m. s. narayana john vijay rajeev kanakala,un_known,shankara thathineni satya prakash nara rohith regina cassandra m. s. narayana john vijay rajeev kanakala un_known
thanu vachenanta,venkat kancherla,rashmi gautam teja kakumanu dhanya balakrishna chalaki chanti,un_known,thanu vachenanta venkat kancherla rashmi gautam teja kakumanu dhanya balakrishna chalaki chanti un_known
aavu puli madhyalo prabhas pelli,ravi pachipala,kalakeya prabhakar ravi teja ashwini chandrasekhar,un_known,aavu puli madhyalo prabhas pelli ravi pachipala kalakeya prabhakar ravi teja ashwini chandrasekhar un_known
manalo okkadu,r. p. patnaik,r. p. patnaik anita hassanandani reddy,un_known,manalo okkadu r. p. patnaik r. p. patnaik anita hassanandani reddy un_known
naruda donoruda,mallik ram,sumanth pallavi subhash tanikella bharani,un_known,naruda donoruda mallik ram sumanth pallavi subhash tanikella bharani un_known
sahasam swasaga sagipo,gautham menon,naga chaitanya manjima mohan baba sehgal,un_known,sahasam swasaga sagipo gautham menon naga chaitanya manjima mohan baba sehgal un_known
ekkadiki pothavu chinnavada,vi anand,nikhil siddharth hebah patel nandita swetha avika gor,Romance Thriller,ekkadiki pothavu chinnavada vi anand nikhil siddharth hebah patel nandita swetha avika gor Romance Thriller
jayammu nischayammu raa,shiva raj kanumuri,srinivasa reddy shamna kasim posani krishna murali sree vishnu ravi varma krishnudu,Drama Comedy,jayammu nischayammu raa shiva raj kanumuri srinivasa reddy shamna kasim posani krishna murali sree vishnu ravi varma krishnudu Drama Comedy
aata,raaj kumar reddy,shradda das gayathri iyer,Romance,aata raaj kumar reddy shradda das gayathri iyer Romance
araku road lo,wassudev,sairam shankar nikesha patel,Thriller,araku road lo wassudev sairam shankar nikesha patel Thriller
dhruva,surender reddy,ram charan rakul preet singh aravind swamy,Romance,dhruva surender reddy ram charan rakul preet singh aravind swamy Romance
