index,Title,Director,Cast,genres,combo
1126,alludu adhurs,santhosh srinivas,Bellamkonda Sreenivas Nabha Natesh Anu Emmanuel Sonu Sood Prakash Raj,Romance Comedy,alludu adhurs santhosh srinivas Bellamkonda Sreenivas Nabha Natesh Anu Emmanuel Sonu Sood Prakash Raj Romance Comedy
1127,cycle,aatla arjun reddy,Punarnavi Bhupalam Mahat Raghavendra Sudarshan Swetha Varma Annapoorna,Drama,cycle aatla arjun reddy Punarnavi Bhupalam Mahat Raghavendra Sudarshan Swetha Varma Annapoorna Drama
1128,super over,praveen varma,Naveen Chandra Chandini Chowdary Ajay Harsha Chemudu Rakendu Mouli Praveen,Thriller,super over praveen varma Naveen Chandra Chandini Chowdary Ajay Harsha Chemudu Rakendu Mouli Praveen Thriller
1129,bangaru bullodu,p. v. giri,Allari Naresh Pooja Jhaveri Posani Krishna Murali Ajay Ghosh Vennela Kishore Tanikella Bharani Satyam Rajesh Prudhvi Raj,un_known,bangaru bullodu p. v. giri Allari Naresh Pooja Jhaveri Posani Krishna Murali Ajay Ghosh Vennela Kishore Tanikella Bharani Satyam Rajesh Prudhvi Raj un_known
1130,30 rojullo preminchadam ela,munna,Pradeep Machiraju Amritha Aiyer Harsha Chemudu Subhalekha Sudhakar Posani Krishna Murali Hema Bhadram Hyper Aadi Sivannarayana Naripeddi Sruthi,un_known,30 rojullo preminchadam ela munna Pradeep Machiraju Amritha Aiyer Harsha Chemudu Subhalekha Sudhakar Posani Krishna Murali Hema Bhadram Hyper Aadi Sivannarayana Naripeddi Sruthi un_known
1131,amma deevena,shiva eturi,Aamani Posani Krishna Murali Ajay Ghosh,un_known,amma deevena shiva eturi Aamani Posani Krishna Murali Ajay Ghosh un_known
1132,annapurnamma gari manavadu,narra shiva nageswara rao,Baladithya Veda Sastry Vikram Chary Vijayendra,Family Drama,annapurnamma gari manavadu narra shiva nageswara rao Baladithya Veda Sastry Vikram Chary Vijayendra Family Drama
1133,cheppina evaru nammaru,aaryan krishna,Aaryan Krishna Supyardee Singh Vikram Chary Vijayendra,Action,cheppina evaru nammaru aaryan krishna Aaryan Krishna Supyardee Singh Vikram Chary Vijayendra Action
1134,jai sena,v. samudra,Srikanth Sunil Sreeram Taraka Ratna,Action Drama,jai sena v. samudra Srikanth Sunil Sreeram Taraka Ratna Action Drama
1135,mr & miss,ashok reddy,Sailesh Sunny Gnaneswari Kandregula,un_known,mr & miss ashok reddy Sailesh Sunny Gnaneswari Kandregula un_known
